"id","type","priority","title","message","is_read","link_url","related_entity_id","created_at"
"1","order","high","New Order","New order #7884 placed by @carpediem831 — $72.50","true","#orders:ef424a02-1925-4f55-949b-4b714f5c7cbc","ef424a02-1925-4f55-949b-4b714f5c7cbc","""2026-03-24T10:34:43.385Z"""
"2","order","medium","Order Cancelled","Order #6130 was cancelled","true","#orders","074ac35a-81ad-4d06-8e43-c2cbd76a1ea5","""2026-03-24T12:11:20.841Z"""
"3","order","high","New Order","New order #6056 placed by @ironmanjamie — $1087.50","true","#orders:56b0fc96-fb0a-4894-90e6-b0155adc13b2","56b0fc96-fb0a-4894-90e6-b0155adc13b2","""2026-03-25T14:56:25.976Z"""
"4","order","medium","Order Cancelled","Order #3169 was cancelled","true","#orders","2cf4b83d-9f35-4bc8-a167-d79e5ab7a8de","""2026-03-26T13:55:07.935Z"""
"5","order","high","New Order","New order #8583 placed by @mkp_uk — $123.00","true","#orders:f2f6ec99-5b7c-4ae0-82a4-219f5eabfe93","f2f6ec99-5b7c-4ae0-82a4-219f5eabfe93","""2026-03-27T13:20:48.831Z"""
"6","order","high","New Order","New order #9360 placed by @ploddingalong — $971.00","false","#orders:d6cb9628-82e3-42e1-a9b0-7dc044c79837","d6cb9628-82e3-42e1-a9b0-7dc044c79837","""2026-03-27T13:37:54.381Z"""
"7","order","medium","Order Cancelled","Order #0021 was cancelled","true","#orders","e8b38f59-85d4-4c03-9581-eca90f3bf35f","""2026-03-28T10:47:38.263Z"""
"8","order","high","New Order","New order #5168 placed by @grundlefly1 — $303.00","false","#orders:4e4a3e91-871e-4486-8b8e-828a75cd40f1","4e4a3e91-871e-4486-8b8e-828a75cd40f1","""2026-03-29T10:36:07.104Z"""
"9","order","medium","Order Cancelled","Order #9360 was cancelled","true","#orders","d6cb9628-82e3-42e1-a9b0-7dc044c79837","""2026-03-31T18:33:40.589Z"""
"10","order","high","New Order","New order #7064 placed by @test — $168.00","false","#orders:2cea936c-6a34-46ca-8903-939aa73fbf76","2cea936c-6a34-46ca-8903-939aa73fbf76","""2026-04-10T11:39:37.839Z"""
"11","order","high","New Order","New order #6110 placed by @testing — $90.00","true","#orders:a6ba6cbb-4a5d-4674-b422-4b45e96481a1","a6ba6cbb-4a5d-4674-b422-4b45e96481a1","""2026-04-10T17:51:34.726Z"""
