id,type,priority,title,message,is_read,link_url,related_entity_id,created_at
1,order,high,New Order,New order #7884 placed by @carpediem831 — $72.50,t,#orders:ef424a02-1925-4f55-949b-4b714f5c7cbc,ef424a02-1925-4f55-949b-4b714f5c7cbc,2026-03-24 10:34:43.385+00
2,order,medium,Order Cancelled,Order #6130 was cancelled,t,#orders,074ac35a-81ad-4d06-8e43-c2cbd76a1ea5,2026-03-24 12:11:20.841+00
3,order,high,New Order,New order #6056 placed by @ironmanjamie — $1087.50,t,#orders:56b0fc96-fb0a-4894-90e6-b0155adc13b2,56b0fc96-fb0a-4894-90e6-b0155adc13b2,2026-03-25 14:56:25.976+00
4,order,medium,Order Cancelled,Order #3169 was cancelled,t,#orders,2cf4b83d-9f35-4bc8-a167-d79e5ab7a8de,2026-03-26 13:55:07.935+00
5,order,high,New Order,New order #8583 placed by @mkp_uk — $123.00,t,#orders:f2f6ec99-5b7c-4ae0-82a4-219f5eabfe93,f2f6ec99-5b7c-4ae0-82a4-219f5eabfe93,2026-03-27 13:20:48.831+00
6,order,high,New Order,New order #9360 placed by @ploddingalong — $971.00,f,#orders:d6cb9628-82e3-42e1-a9b0-7dc044c79837,d6cb9628-82e3-42e1-a9b0-7dc044c79837,2026-03-27 13:37:54.381+00
7,order,medium,Order Cancelled,Order #0021 was cancelled,t,#orders,e8b38f59-85d4-4c03-9581-eca90f3bf35f,2026-03-28 10:47:38.263+00
8,order,high,New Order,New order #5168 placed by @grundlefly1 — $303.00,f,#orders:4e4a3e91-871e-4486-8b8e-828a75cd40f1,4e4a3e91-871e-4486-8b8e-828a75cd40f1,2026-03-29 10:36:07.104+00
9,order,medium,Order Cancelled,Order #9360 was cancelled,t,#orders,d6cb9628-82e3-42e1-a9b0-7dc044c79837,2026-03-31 18:33:40.589+00
10,order,high,New Order,New order #7064 placed by @test — $168.00,f,#orders:2cea936c-6a34-46ca-8903-939aa73fbf76,2cea936c-6a34-46ca-8903-939aa73fbf76,2026-04-10 11:39:37.839846+00
11,order,high,New Order,New order #6110 placed by @testing — $90.00,t,#orders:a6ba6cbb-4a5d-4674-b422-4b45e96481a1,a6ba6cbb-4a5d-4674-b422-4b45e96481a1,2026-04-10 17:51:34.726958+00
12,order,high,New Order,New order #6633 placed by @iam0121 — $90.00,f,#orders:8e2d911c-ddbd-4f96-b25c-620288e64291,8e2d911c-ddbd-4f96-b25c-620288e64291,2026-04-10 19:54:30.409598+00
13,order,high,Payment Received,Payment received for order #6633 — $90.00,f,#orders:8e2d911c-ddbd-4f96-b25c-620288e64291,8e2d911c-ddbd-4f96-b25c-620288e64291,2026-04-10 20:31:52.507049+00
14,order,low,Order Updated,Order #6633 was manually updated by admin,f,#orders:8e2d911c-ddbd-4f96-b25c-620288e64291,8e2d911c-ddbd-4f96-b25c-620288e64291,2026-04-11 00:08:40.281499+00
15,order,high,New Order,New order #8791 placed by @sleepingpep — $355.00,f,#orders:ffece4fb-67d7-443a-8a9d-48340b0d640c,ffece4fb-67d7-443a-8a9d-48340b0d640c,2026-04-11 10:54:51.134988+00
16,order,high,New Order,New order #7164 placed by @sleepingpep — $355.00,f,#orders:69c2436a-82e4-4306-ad13-bf8e8678698f,69c2436a-82e4-4306-ad13-bf8e8678698f,2026-04-11 11:35:46.810828+00
17,seller,high,New Seller Application,Van (@entangledpep) has submitted a seller application and is awaiting review.,t,#vialshop,aa0c2358-d0e8-4e02-9297-887c90283b54,2026-04-11 11:53:36.592976+00
18,order,high,New Order,New order #6427 placed by @iam0121 — $95.00,f,#orders:e620d4f8-f1d3-435e-adc8-1d58e91f6109,e620d4f8-f1d3-435e-adc8-1d58e91f6109,2026-04-12 06:46:59.244559+00
19,order,high,New Order,New order #4958 placed by @testing1 — $175.00,f,#orders:dbcc120d-0908-42b9-b772-68c2a70246b1,dbcc120d-0908-42b9-b772-68c2a70246b1,2026-04-12 09:08:10.10759+00
20,order,high,New Order,New order #2846 placed by @testing1 — $70.00,f,#orders:75892d30-9506-4ea1-ab7d-8cc89107364f,75892d30-9506-4ea1-ab7d-8cc89107364f,2026-04-12 09:14:44.31155+00
21,order,high,New Order,New order #7286 placed by @testing1 — $75.00,f,#orders:7c8bddfd-8987-4ecf-a7be-0b60c92d42c4,7c8bddfd-8987-4ecf-a7be-0b60c92d42c4,2026-04-12 09:16:07.904337+00
22,system,medium,New Group Buy Created,"Group buy ""Uther April GB"" (93V4L) was created. Status: active.",f,#group-buys:93V4L,93V4L,2026-04-13 22:05:47.232892+00
23,customer,high,New Customer,New account registered: @iam0121,f,#customers:iam0121,,2026-04-13 22:09:24.073657+00
24,order,high,New Order,New order #9091 placed by @iam0121 — $58.00,f,#orders:34982eda-1e24-46c9-8482-3e5a6d81d666,34982eda-1e24-46c9-8482-3e5a6d81d666,2026-04-13 22:11:50.574211+00
25,system,medium,New Group Buy Created,"Group buy ""R140 & CAG 10 - WW GB"" (DBD3Q) was created. Status: draft.",f,#group-buys:DBD3Q,DBD3Q,2026-04-13 22:18:56.556104+00
26,system,medium,Group Buy Status Changed,"GB ""R140 & CAG 10 - WW GB"" changed from draft → active",f,#group-buys:DBD3Q,DBD3Q,2026-04-13 22:23:55.89832+00
27,order,high,New Order,New order #6861 placed by @iam0121 — $145.00,f,#orders:80da17ea-03ea-4e27-b26a-65458af35430,80da17ea-03ea-4e27-b26a-65458af35430,2026-04-13 22:24:39.586756+00
