id,type,level,action,message,ip,created_at
1,login,warn,admin_login_failed,Failed admin login attempt,34.24.36.69,2026-03-20 09:38:19.343+00
2,login,warn,admin_login_failed,Failed admin login attempt,34.28.115.107,2026-03-20 09:38:30.525+00
3,login,info,admin_login_success,Admin logged in successfully,35.193.3.192,2026-03-20 09:38:32.734+00
4,order,info,order_updated_by_admin,Admin updated order 0043 (Clarke): pin,35.227.80.228,2026-03-20 09:38:50.566+00
5,login,info,admin_login_success,Admin logged in successfully,136.111.227.54,2026-03-20 09:40:50.927+00
6,login,warn,lookup_failed,Failed order lookup for identifier: clarke,35.190.148.147,2026-03-20 10:16:03.88+00
7,login,warn,lookup_failed,Failed order lookup for identifier: @mkp-ik,35.190.148.147,2026-03-20 10:46:07.55+00
8,login,warn,lookup_failed,Failed order lookup for identifier: @mkp-uk,35.190.145.24,2026-03-20 10:46:13.195+00
9,login,warn,lookup_failed,Failed order lookup for identifier: @mkp_uk,35.190.148.147,2026-03-20 10:46:24.049+00
10,login,warn,lookup_failed,Failed order lookup for identifier: @mkp_uk,35.243.247.101,2026-03-20 10:47:46.61+00
11,login,warn,lookup_failed,Failed order lookup for identifier: @mkp,35.243.247.101,2026-03-20 10:50:41.348+00
12,order,info,order_created,"New order 5485 created by @mkp_uk (InPost, total: 168.00)",35.196.201.235,2026-03-20 10:53:57.654+00
13,login,warn,lookup_failed,Failed order lookup for identifier: johncenacme,34.10.2.232,2026-03-20 10:54:03.753+00
14,login,warn,lookup_failed,Failed order lookup for identifier: @johncenacme,34.10.2.232,2026-03-20 10:54:11.055+00
15,login,info,lookup_success,Successful order lookup for @mkp_uk (order 5485),35.227.80.228,2026-03-20 10:54:27.42+00
16,order,warn,order_deleted_by_customer,"Customer deleted order 5485 (@mkp_uk, status: Submitted)",34.23.146.22,2026-03-20 10:54:42.135+00
17,login,warn,lookup_failed,Failed order lookup for identifier: @johncenacme,34.23.116.255,2026-03-20 10:56:13.536+00
18,login,warn,lookup_failed,Failed order lookup for identifier: @johncenacme,34.148.7.61,2026-03-20 10:56:18.668+00
19,login,warn,lookup_failed,Failed order lookup for identifier: johncenacme,35.231.191.228,2026-03-20 10:56:23.962+00
20,login,warn,lookup_failed,Failed order lookup for identifier: johncenacme,35.243.247.101,2026-03-20 11:02:16.949+00
21,login,warn,lookup_failed,Failed order lookup for identifier: @miki19844,35.243.247.101,2026-03-20 11:08:12.684+00
22,login,warn,lookup_failed,Failed order lookup for identifier: miki19844,35.190.145.24,2026-03-20 11:08:44.422+00
23,login,info,admin_login_success,Admin logged in successfully,34.24.36.69,2026-03-20 11:09:24.872+00
24,login,info,admin_login_success,Admin logged in successfully,34.23.146.22,2026-03-20 11:09:40.268+00
25,change,info,lockout_cleared,Admin cleared lockout for identifier: miki19844,34.148.7.61,2026-03-20 11:10:02.655+00
26,change,info,lockout_cleared,Admin cleared lockout for identifier: @miki19844,35.227.80.228,2026-03-20 11:10:03.316+00
27,change,info,lockout_cleared,Admin cleared lockout for identifier: johncenacme,35.231.191.228,2026-03-20 11:10:03.791+00
