"id","telegram_username","event_category","event_type","entity_id","actor_username","actor_type","metadata","created_at"
"0078a938-39b5-4daf-8bee-6f5fa190bbb2","adev81","group_buy","group_buy.left","DBD3Q",,"customer","{""groupBuyId"":""DBD3Q""}","""2026-04-18T16:54:35.975Z"""
"007c0030-764b-4eeb-beea-cf0700d287c2","pompatak","account","account.created",,,"customer","{""telegramUsername"":""pompatak"",""registrationTimestamp"":""2026-04-18T19:11:36.466Z""}","""2026-04-18T19:11:36.552Z"""
"00924da5-8e69-41ac-9b4d-a10c7ade1fac","reeper90","group_buy","group_buy.joined","GW5JW",,"customer","{""phase"":""active"",""groupBuyId"":""GW5JW"",""groupBuyName"":""Autopen GB""}","""2026-04-17T12:56:28.707Z"""
"00badaab-cd62-4c1a-90fd-d1c3e43648d7","superted1987","group_buy","group_buy.left","DBD3Q",,"customer","{""groupBuyId"":""DBD3Q""}","""2026-04-19T12:39:20.157Z"""
"00e40f18-c4f0-4644-b8e4-9cd676ac9b96","f00bz","group_buy","group_buy.left","GW5JW",,"customer","{""groupBuyId"":""GW5JW""}","""2026-04-17T22:43:23.266Z"""
"011570ce-29ac-49d0-999e-8db2844f9907","defoscam","account","account.created",,,"customer","{""telegramUsername"":""defoscam"",""registrationTimestamp"":""2026-04-17T22:13:17.228Z""}","""2026-04-17T22:13:17.235Z"""
"01e28a04-6609-4d8b-a5eb-16a35dde3cbb","b_johannessen","account","account.created",,,"customer","{""telegramUsername"":""b_johannessen"",""registrationTimestamp"":""2026-04-17T06:53:40.474Z""}","""2026-04-17T06:53:40.569Z"""
"020c8e64-6e3e-429e-be30-a05699c6d7df","galya_mihalkova1","account","account.created",,,"customer","{""telegramUsername"":""galya_mihalkova1"",""registrationTimestamp"":""2026-04-15T10:48:12.303Z""}","""2026-04-15T10:48:12.394Z"""
"02226c89-e002-479f-9729-b9da2b82b5e7","misosososo","group_buy","group_buy.left","DBD3Q",,"customer","{""groupBuyId"":""DBD3Q""}","""2026-04-24T14:38:09.644Z"""
"025228c7-9762-4e1b-b04f-5efaf7cdfc47","ow1818","group_buy","group_buy.joined","GW5JW",,"customer","{""phase"":""active"",""groupBuyId"":""GW5JW"",""groupBuyName"":""Autopen GB""}","""2026-04-15T13:32:56.518Z"""
"0283864f-4b92-4a28-9ec8-914b9c67beee","simon01702","group_buy","group_buy.left","DBD3Q",,"customer","{""groupBuyId"":""DBD3Q""}","""2026-04-15T17:16:08.796Z"""
"02e642ba-55f7-4919-87ae-deb138f0295d","hecks1995","account","account.created",,,"customer","{""telegramUsername"":""hecks1995"",""registrationTimestamp"":""2026-04-18T00:40:39.880Z""}","""2026-04-18T00:40:40.372Z"""
"0312553d-d9c9-4d90-827f-28bf05f4c7b3","lusty3982","group_buy","group_buy.left","93V4L",,"customer","{""groupBuyId"":""93V4L""}","""2026-04-15T19:45:50.269Z"""
"031e7f74-7aa8-4ffa-a9dd-d2f6b464e37c","sh4n_97","group_buy","group_buy.joined","GW5JW",,"customer","{""phase"":""active"",""groupBuyId"":""GW5JW"",""groupBuyName"":""Autopen GB""}","""2026-04-15T11:56:09.385Z"""
"0340b46a-ab67-4ed1-8f6d-f36326e2ac88","irm1208","blood_test","blood_test.ai_discussion_message","d8e3cfa3-4357-4e7b-aea1-b8756cbf6be6",,"system","{""sender"":""ai"",""content"":""A dose of **100mg/week** of testosterone is a common starting point for **TRT** and often aims to bring total **Testosterone** into the mid-to-upper physiological range for many individuals. However, its \""okay-ness\"" for *you* specifically depends entirely on how your body responds, which is highly individual. You'd need follow-up blood work to assess total and free **Testosterone**, **Oestradiol**, and **Haematocrit** to ensure optimal levels and manage potential side effects.\n\n⚕️ Always consult a licensed healthcare professional before changing your protocol."",""characterCount"":566,""conversationId"":""d8e3cfa3-4357-4e7b-aea1-b8756cbf6be6""}","""2026-04-14T09:26:42.984Z"""
"039fea3c-efeb-4681-aebc-c9de087b45b5","elsa_0607","account","account.created",,,"customer","{""telegramUsername"":""elsa_0607"",""registrationTimestamp"":""2026-04-22T11:59:24.919Z""}","""2026-04-22T11:59:25.012Z"""
