id,telegram_username,event_category,event_type,entity_id,actor_username,actor_type,metadata,created_at
7739a449-777d-468c-8c6b-a173696d925f,iam0121,account,account.created,,,customer,"{""telegramUsername"": ""iam0121"", ""registrationTimestamp"": ""2026-04-13T22:09:23.974Z""}",2026-04-13 22:09:24.056273+00
f23d2dee-d344-4f87-99d3-bf5e8d0ee9b6,velcr,account,account.created,,,customer,"{""telegramUsername"": ""velcr"", ""registrationTimestamp"": ""2026-04-14T19:17:04.258Z""}",2026-04-14 19:17:04.268255+00
67fa08d5-74c2-442c-8ce3-67763edb5056,aliask,account,account.created,,,customer,"{""telegramUsername"": ""aliask"", ""registrationTimestamp"": ""2026-04-14T19:44:54.036Z""}",2026-04-14 19:44:54.134185+00
465753db-c9cd-4bb0-a392-a48db3fbd51c,iam0121,blood_test,blood_test.session_created,204a8b23-33a3-49ae-b766-bbb1cd3468df,,customer,"{""labName"": null, ""testDate"": ""2026-04-03"", ""testName"": ""VOy"", ""measurementType"": ""Trough"", ""medicationNotes"": null}",2026-04-13 22:12:40.647986+00
0d81b611-3aed-41b1-b890-56edf23b5a19,iam0121,blood_test,blood_test.results_uploaded,204a8b23-33a3-49ae-b766-bbb1cd3468df,,customer,"{""biomarkers"": [{""name"": ""Testosterone"", ""unit"": ""nmol/L"", ""value"": 54.7, ""refRangeLow"": 12, ""refRangeHigh"": 30}, {""name"": ""Free Testosterone"", ""unit"": ""nmol/L"", ""value"": 0.953, ""refRangeLow"": 0.226, ""refRangeHigh"": 0.65}, {""name"": ""Luteinising Hormone"", ""unit"": ""U/l"", ""value"": 0, ""refRangeLow"": 1.7, ""refRangeHigh"": 8.6}, {""name"": ""Follicle Stimulating Hormone"", ""unit"": ""U/l"", ""value"": 0, ""refRangeLow"": 1.5, ""refRangeHigh"": 12.4}, {""name"": ""Oestradiol"", ""unit"": ""pmol/L"", ""value"": 183, ""refRangeLow"": 41, ""refRangeHigh"": 159}, {""name"": ""Prolactin"", ""unit"": ""mIU/L"", ""value"": 223, ""refRangeLow"": 86, ""refRangeHigh"": 324}, {""name"": ""Sex Hormone Binding Globulin"", ""unit"": ""nmol/L"", ""value"": 61.3, ""refRangeLow"": 10, ""refRangeHigh"": 57}, {""name"": ""Free Thyroxine"", ""unit"": ""pmol/L"", ""value"": 18, ""refRangeLow"": 12, ""refRangeHigh"": 22}, {""name"": ""Haematocrit"", ""unit"": ""%"", ""value"": 46.028, ""refRangeLow"": 40, ""refRangeHigh"": 52}, {""name"": ""Haemoglobin"", ""unit"": ""g/L"", ""value"": 155, ""refRangeLow"": 130, ""refRangeHigh"": 180}, {""name"": ""Red Blood Cells"", ""unit"": ""10^12/L"", ""value"": 5.91, ""refRangeLow"": 4.4, ""refRangeHigh"": 6.5}, {""name"": ""White Blood Cells"", ""unit"": ""10^9/L"", ""value"": 4.68, ""refRangeLow"": 3, ""refRangeHigh"": 11}, {""name"": ""Lymphocytes"", ""unit"": ""10^9/L"", ""value"": 1.48, ""refRangeLow"": 1.5, ""refRangeHigh"": 4.5}, {""name"": ""Monocytes"", ""unit"": ""10^9/L"", ""value"": 0.38, ""refRangeLow"": 0.2, ""refRangeHigh"": 0.8}, {""name"": ""Neutrophils"", ""unit"": ""10^9/L"", ""value"": 2.57, ""refRangeLow"": 2, ""refRangeHigh"": 7.5}, {""name"": ""Platelets"", ""unit"": ""10^9/L"", ""value"": 219, ""refRangeLow"": 150, ""refRangeHigh"": 450}, {""name"": ""Mean Cell Volume"", ""unit"": ""fL"", ""value"": 81.9, ""refRangeLow"": 80, ""refRangeHigh"": 100}, {""name"": ""Mean Cell Haemoglobin Concentration"", ""unit"": ""g/L"", ""value"": 320, ""refRangeLow"": 320, ""refRangeHigh"": 360}, {""name"": ""Mean Cell Haemoglobin"", ""unit"": ""pg"", ""value"": 26.2, ""refRangeLow"": 27, ""refRangeHigh"": 33}, {""name"": ""Basophils"", ""unit"": ""10^9/L"", ""value"": 0.03, ""refRangeLow"": 0, ""refRangeHigh"": 0.1}, {""name"": ""Eosinophils"", ""unit"": ""10^9/L"", ""value"": 0.22, ""refRangeLow"": 0, ""refRangeHigh"": 0.4}, {""name"": ""High-Density Lipoprotein"", ""unit"": ""mmol/L"", ""value"": 1.37, ""refRangeLow"": 0.9, ""refRangeHigh"": 1.7}, {""name"": ""Total Cholesterol"", ""unit"": ""mmol/L"", ""value"": 4.63, ""refRangeLow"": null, ""refRangeHigh"": 5}, {""name"": ""Total Cholesterol: HDL Ratio"", ""unit"": ""ratio"", ""value"": 3.38, ""refRangeLow"": null, ""refRangeHigh"": 5}, {""name"": ""Alanine Transaminase"", ""unit"": ""U/L"", ""value"": 34.4, ""refRangeLow"": null, ""refRangeHigh"": 45}, {""name"": ""Alkaline Phosphatase"", ""unit"": ""U/L"", ""value"": 47, ""refRangeLow"": 30, ""refRangeHigh"": 130}, {""name"": ""Gamma-Glutamyl Transferase"", ""unit"": ""U/L"", ""value"": 22.4, ""refRangeLow"": 8, ""refRangeHigh"": 61}, {""name"": ""Albumin"", ""unit"": ""g/L"", ""value"": 47.9, ""refRangeLow"": 35, ""refRangeHigh"": 50}, {""name"": ""Bilirubin"", ""unit"": ""μmol/L"", ""value"": 9.61, ""refRangeLow"": null, ""refRangeHigh"": 22}, {""name"": ""Creatinine"", ""unit"": ""μmol/L"", ""value"": 116.2, ""refRangeLow"": 60, ""refRangeHigh"": 120}, {""name"": ""Estimated Glomerular Filtration Rate"", ""unit"": ""ml/min/1.73m2"", ""value"": 75, ""refRangeLow"": 60, ""refRangeHigh"": 150}, {""name"": ""Urea"", ""unit"": ""mmol/L"", ""value"": 5.81, ""refRangeLow"": 2.5, ""refRangeHigh"": 7.8}, {""name"": ""Glycated Haemoglobin (HbA1c)"", ""unit"": ""mmol/mol"", ""value"": 30.82, ""refRangeLow"": 20, ""refRangeHigh"": 42}, {""name"": ""Ferritin"", ""unit"": ""μg/L"", ""value"": 143.5, ""refRangeLow"": 30, ""refRangeHigh"": 400}, {""name"": ""Prostate-Specific Antigen"", ""unit"": ""μg/L"", ""value"": 0.79, ""refRangeLow"": null, ""refRangeHigh"": 2.5}], ""biomarkerCount"": 35}",2026-04-13 22:12:40.731827+00
b0a919ab-c2e6-4867-8075-8aa055efdc9c,iam0121,blood_test,blood_test.ai_discussion_message,204a8b23-33a3-49ae-b766-bbb1cd3468df,,customer,"{""sender"": ""user"", ""content"": ""Are my liver markers OK?"", ""characterCount"": 24, ""conversationId"": ""204a8b23-33a3-49ae-b766-bbb1cd3468df""}",2026-04-13 22:13:14.888886+00
7820d7c3-ba0f-4995-bba0-c11845edd844,iam0121,blood_test,blood_test.ai_discussion_message,204a8b23-33a3-49ae-b766-bbb1cd3468df,,system,"{""sender"": ""ai"", ""content"": ""Your primary liver markers, **Alanine Transaminase (34.4 U/L)**, **Alkaline Phosphatase (47 U/L)**, and **Gamma-Glutamyl Transferase (22.4 U/L)**, are all well within their reference ranges, indicating healthy liver function. **Bilirubin (9.61 μmol/L)** is also fine. Your **Albumin (47.9 g/L)** is at the high end of the reference range (35–50 g/L), marked as ⚡ BORDERLINE, but this is generally less concerning than elevated enzyme markers unless accompanied by other issues. Overall, your liver profile looks good.\n⚕️ Always consult a licensed healthcare professional before changing your protocol."", ""characterCount"": 601, ""conversationId"": ""204a8b23-33a3-49ae-b766-bbb1cd3468df""}",2026-04-13 22:13:14.966187+00
09d631b0-d1f7-4698-b092-76ce414496ce,julialeonard107,account,account.created,,,customer,"{""telegramUsername"": ""julialeonard107"", ""registrationTimestamp"": ""2026-04-14T08:06:43.237Z""}",2026-04-14 08:06:43.325659+00
8ba4ae91-349e-4a3a-989c-0f1fe08151d1,bigdladd,group_buy,group_buy.left,93V4L,,customer,"{""groupBuyId"": ""93V4L""}",2026-04-14 19:50:54.773127+00
756964da-b8dd-41b6-b7fa-31d526e85e99,tbby123,account,account.created,,,customer,"{""telegramUsername"": ""tbby123"", ""registrationTimestamp"": ""2026-04-13T23:16:43.693Z""}",2026-04-13 23:16:43.700499+00
