"id","product_name","unit_cost","created_at","updated_at"
"76","Semaglutide 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"77","Tirzepatide 10mg","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"78","Tirzepatide 15mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"79","Tirzepatide 20mg","70.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"80","Tirzepatide 30mg","80.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"81","Tirzepatide 45mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"82","Tirzepatide 60mg","120.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"83","Tirzepatide 100mg","190.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"84","Retatrutide 10mg","80.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"85","Retatrutide 20mg","105.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"86","Retatrutide 30mg","130.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"87","Retatrutide 40mg","150.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"88","Retatrutide 50mg","185.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"89","Retatrutide 100mg","380.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"90","Cagrilintide 5mg","90.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"91","Cagrilintide 10mg","170.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"92","Mazdutide 10mg","160.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"93","Survodutide 10mg","150.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"94","GAC water 10ml","25.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"95","BAC water 10ml","25.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"96","GAC water 3ml","15.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"97","BAC water 3ml","15.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"98","L-Carnitine 500mg×20ml×10vials Water","160.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"99","Cyanocobalamin B12 1mg ×10ml×10vials water","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"100","HGH 10IU","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"101","IGF-1 LR3 1mg","180.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"102","5-Amino-1MQ 50mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"103","5-Amino-1MQ 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"104","Adipotide 10mg","165.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"105","VIP 10mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"106","Bpc 157 10mg","35.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"107","BPC 157 10mg","35.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"108","Bpc 157 40mg","125.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"109","BPC 157 40mg","125.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"110","TB500(TB4) 10mg","85.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"111","TB500 (TB4) 10mg","85.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"112","TB500(TB4) 20mg","150.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"113","TB500 (TB4) 20mg","150.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"114","Abaloparatide 3mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"115","Teriparatide 750mcg","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"116","Fragment 176-191 5mg","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"117","Fragment 176–1915mg","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"118","PT141 10mg","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"119","Pt141 10mg","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"120","Kisspeptin-10mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"121","Kisspeptin 10mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"122","Epitalon 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"123","Epitalon 50mg","200.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"124","N-Acetyl Epitalon 20mg","80.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"125","Melanotan II 10mg","35.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"126","Melanotan I 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"127","CJC-1295 with Dac 5mg","90.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"128","CJC-1295 with DAC 5mg","90.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"129","CJC-1295 No Dac 10mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"130","CJC-1295 No DAC 10mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"131","Tesa / IPA / CJC No DAC 6/3/3mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"132","GHRP-6 10mg","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
