id,gb_id,country_code,country_name,invite_enabled,invite_code,status,sort_order,created_at,message,country_note,vendor_shipping_cost,vendor_package_count,direct_shipping_enabled,wholesale_vendor_id,kit_count_excluded_order_ids
llxo41bhgt,93V4L,BE,Belgium,f,,active,0,2026-04-24 07:58:08.976321+00,,,,,f,,
nc1aiqteqs,93V4L,CY,Cyprus,f,,active,0,2026-04-24 07:58:39.522695+00,,,,,f,,
x2hukzfogg,93V4L,CZ,Czech Republic,f,,active,0,2026-04-24 07:58:46.311955+00,,,,,f,,
2uzj9cr6du,93V4L,EE,Estonia,f,,active,0,2026-04-24 07:59:02.805047+00,,,,,f,,
cg6107kgbx,93V4L,FI,Finland,f,,active,0,2026-04-24 07:59:11.39188+00,,,,,f,,
ar29h3vpo8,93V4L,HU,Hungary,f,,active,0,2026-04-24 07:59:37.855668+00,,,,,f,,
revgaqr4fw,93V4L,IE,Ireland,f,,active,0,2026-04-24 07:59:43.822638+00,,,,,f,,
75uvwkul7w,93V4L,LV,Latvia,f,,active,0,2026-04-24 08:00:01.373357+00,,,,,f,,
to18lb1kuc,93V4L,LT,Lithuania,f,,active,0,2026-04-24 08:00:10.674432+00,,,,,f,,
5oaa1t3taz,93V4L,LU,Luxembourg,f,,active,0,2026-04-24 08:00:16.304052+00,,,,,f,,
hkuh9va1kg,93V4L,MT,Malta,f,,active,0,2026-04-24 08:00:24.271427+00,,,,,f,,
mgvvj9xftp,93V4L,PL,Poland,f,,active,0,2026-04-24 08:00:39.369184+00,,,,,f,,
fq7fdk0vj4,93V4L,RO,Romania,f,,active,0,2026-04-24 08:00:55.089476+00,,,,,f,,
a1u29zh50w,93V4L,SK,Slovakia,f,,active,0,2026-04-24 08:01:01.269717+00,,,,,f,,
8412obyj6l,93V4L,SI,Slovenia,f,,active,0,2026-04-24 08:01:08.73424+00,,,,,f,,
062pqg130n,93V4L,SE,Sweden,f,,active,0,2026-04-24 08:01:21.847029+00,,,,,f,,
jgkgfdh2ig,93V4L,US,United States,f,,active,0,2026-04-24 13:22:13.821736+00,,,,,f,,
o3cz1zlxgx,93V4L,CA,Canada,f,,active,0,2026-04-24 13:22:24.931255+00,,,,,f,,
hfyt2qnbtl,93V4L,HR,Croatia,f,,active,0,2026-04-24 07:58:32.535495+00,,,,,f,,
vzt8jozfnn,93V4L,DK,Denmark,f,,active,0,2026-04-24 07:58:55.913645+00,,,,,t,,
tb0cmwrbuw,93V4L,FR,France,f,,active,0,2026-04-24 07:59:17.177959+00,,,,,t,,
aza3jz7d51,93V4L,AT,Austria,f,,active,0,2026-04-24 07:57:41.028048+00,,,,,f,,
qm1c0dvw80,93V4L,DE,Germany,f,,active,0,2026-04-24 07:59:22.558975+00,,,,,t,,
oqmg9iyfh5,93V4L,GR,Greece,f,,active,0,2026-04-24 07:59:28.709716+00,,,,,t,,
wyswptdnix,93V4L,IT,Italy,f,,active,0,2026-04-24 07:59:51.850913+00,,,,,t,,
jhby1yyx0g,93V4L,NL,Netherlands,f,,active,0,2026-04-24 08:00:33.268537+00,,,,,t,,
t6bo84w730,93V4L,PT,Portugal,f,,active,0,2026-04-24 08:00:48.432081+00,,,,,t,,
cb1voz7ul4,93V4L,ES,Spain,f,,active,0,2026-04-24 08:01:14.670216+00,,,,,t,,
00b6p647nx,VZE6X,AU,Australia,f,,active,0,2026-05-05 22:06:14.367959+00,,,,,f,,
hnf08dna9l,93V4L,GB,United Kingdom,f,,active,0,2026-04-24 13:22:01.715986+00,,,,,f,,
a9nq95qgba,VZE6X,AT,Austria,f,,active,0,2026-05-03 12:18:36.728257+00,,,,,f,,
6cxrognvwa,VZE6X,BE,Belgium,f,,active,0,2026-05-03 12:18:36.8065+00,,,,,f,,
0zk8fyz7kv,VZE6X,BG,Bulgaria,f,,active,0,2026-05-03 12:18:36.879215+00,,,,,f,,
enugnvfpzn,VZE6X,CY,Cyprus,f,,active,0,2026-05-03 12:18:36.955757+00,,,,,f,,
3kukzv1d0t,VZE6X,CZ,Czech Republic,f,,active,0,2026-05-03 12:18:37.025557+00,,,,,f,,
cqofjp756v,VZE6X,DE,Germany,f,,active,0,2026-05-03 12:18:37.092138+00,,,,,f,,
zha54vf0eu,VZE6X,DK,Denmark,f,,active,0,2026-05-03 12:18:37.171768+00,,,,,f,,
z07fnwenhd,VZE6X,EE,Estonia,f,,active,0,2026-05-03 12:18:37.239483+00,,,,,f,,
bvdccarcl8,VZE6X,ES,Spain,f,,active,0,2026-05-03 12:18:37.318231+00,,,,,f,,
pmwe7v8xbt,VZE6X,FI,Finland,f,,active,0,2026-05-03 12:18:37.383014+00,,,,,f,,
6xclhmm9kf,VZE6X,FR,France,f,,active,0,2026-05-03 12:18:37.450436+00,,,,,f,,
0tc6t32plb,VZE6X,GR,Greece,f,,active,0,2026-05-03 12:18:37.516153+00,,,,,f,,
h1bxry0ls8,VZE6X,HR,Croatia,f,,active,0,2026-05-03 12:18:37.583532+00,,,,,f,,
eigysxx9lp,VZE6X,HU,Hungary,f,,active,0,2026-05-03 12:18:37.652226+00,,,,,f,,
lke4wf951y,VZE6X,IE,Ireland,f,,active,0,2026-05-03 12:18:37.726043+00,,,,,f,,
kav4hw3beg,VZE6X,IT,Italy,f,,active,0,2026-05-03 12:18:37.795764+00,,,,,f,,
dddtzfw4ib,VZE6X,LT,Lithuania,f,,active,0,2026-05-03 12:18:37.870218+00,,,,,f,,
ylnp0jsmxr,VZE6X,LU,Luxembourg,f,,active,0,2026-05-03 12:18:37.938763+00,,,,,f,,
nb06lgph0k,VZE6X,LV,Latvia,f,,active,0,2026-05-03 12:18:38.009176+00,,,,,f,,
cmqjuizbmr,VZE6X,MT,Malta,f,,active,0,2026-05-03 12:18:38.078342+00,,,,,f,,
g8xgmfzcix,VZE6X,NL,Netherlands,f,,active,0,2026-05-03 12:18:38.145818+00,,,,,f,,
2kljzebwwo,VZE6X,PL,Poland,f,,active,0,2026-05-03 12:18:38.216202+00,,,,,f,,
x0uoseeb0x,VZE6X,PT,Portugal,f,,active,0,2026-05-03 12:18:38.284507+00,,,,,f,,
0y67gl4a4w,VZE6X,RO,Romania,f,,active,0,2026-05-03 12:18:38.356546+00,,,,,f,,
wvhn5j9r59,VZE6X,SE,Sweden,f,,active,0,2026-05-03 12:18:38.422772+00,,,,,f,,
nxb7lhitld,VZE6X,SI,Slovenia,f,,active,0,2026-05-03 12:18:38.487585+00,,,,,f,,
5yx3ss6u1o,VZE6X,SK,Slovakia,f,,active,0,2026-05-03 12:18:38.559181+00,,,,,f,,
gibz8wz8l8,VZE6X,GB,United Kingdom,f,,active,0,2026-05-03 13:29:30.679181+00,,,,,f,,
xwkcu1iatj,VZE6X,US,United States,f,,active,0,2026-05-04 16:04:02.571914+00,,,,,f,,
