"id","identifier","failed_attempts","blocked_until","last_attempt_at"
"035eaf14-3440-4d6b-8d34-4ae633f2d0b2","@carpediem831","0",,"""2026-03-27T09:18:06.637Z"""
"0eb54b5d-898a-4242-a598-451682d4dd31","fbx2000","4",,"""2026-03-29T20:37:57.213Z"""
"12f5a28f-3274-44c3-acee-7d0019125c6e","@0012","2",,"""2026-03-24T14:16:09.258Z"""
"15f77f70-1440-4d1a-ade2-07b9b82e459a","@rtac26","1",,"""2026-03-24T19:56:03.629Z"""
"1731d719-5fec-42ae-be20-621fa6b397a4","lysdexia","1",,"""2026-03-22T13:43:22.330Z"""
"1764dc09-ae57-46aa-87ec-bfd2f2678f9c","@mirculina","2",,"""2026-03-22T00:38:00.343Z"""
"187b5d7f-ec79-40d1-8121-fc304da200ea","@brumbaclart","2",,"""2026-03-23T09:13:11.810Z"""
"1ae1607a-ae8e-480c-bd5a-2e5ed23c3eed","jord133","1",,"""2026-03-21T14:13:33.898Z"""
"1f4044aa-9ca3-4fc3-90a1-feec916ccf2e","@johnnywalker","1",,"""2026-03-22T07:41:21.924Z"""
"1f5154d3-b4f5-4e89-8849-9ffce65c8a2e","mand","2",,"""2026-03-25T11:30:54.962Z"""
"24f7e40d-b7d2-4752-b6df-f86ee584ceda","scott","0",,"""2026-03-26T10:44:49.793Z"""
"2e6d5a2d-c73b-4b80-89d7-e60706372d96","4170","1",,"""2026-03-18T22:43:07.734Z"""
"3c600dcc-a36c-4590-9d63-97a18f9aa8b3","@sublantis","1",,"""2026-03-28T06:10:39.982Z"""
"456e1389-05b0-4e48-87a2-646ad5c12a0d","@grundlefly1","0",,"""2026-03-29T10:36:45.657Z"""
"4a71f926-a9a4-4037-ae39-dae27c78dd2b","jbonwards","2",,"""2026-03-27T06:51:00.808Z"""
"4e724516-0d1b-42ab-8ab4-effec4d5f5b6","@panth89","0",,"""2026-03-21T14:29:19.094Z"""
"4fa0a50d-fb6c-4ac9-a050-3a54986a9be9","@ploddingalong","1",,"""2026-03-31T18:33:44.332Z"""
"58c71ee1-addd-4612-be59-30f35d112cf4","@q2w3e4r5t6y8","1",,"""2026-03-22T12:31:31.424Z"""
"5900546c-7669-4202-8144-6d41dfe26493","flodelpep","2",,"""2026-03-21T16:29:02.122Z"""
"5d436a93-7458-4b67-8a0d-6687704b2539","mirculina","5","""2026-03-22T00:55:46.769Z""","""2026-03-22T00:40:46.769Z"""
"62a38a82-5fe1-4f2e-9993-6ff362c2b012","@oc1313","0",,"""2026-03-24T19:58:34.244Z"""
"64479383-2d6c-4901-857e-4809d89d61c0","antots3","1",,"""2026-03-21T16:32:36.044Z"""
"67de37c1-1f39-4cb3-b5e8-1a302212f04a","0000","1",,"""2026-03-25T07:00:34.611Z"""
"6afdc6fc-420c-44bd-afe9-6c0a075d5605","antots","1",,"""2026-03-21T16:32:03.691Z"""
"6d0d6b27-8923-489f-b8c2-9a2cd6f440a3","@heych91","1",,"""2026-03-21T23:26:33.160Z"""
"6e47e820-3c40-4431-b5bd-10ac60942f6b","@leonidas","2",,"""2026-03-21T13:12:36.661Z"""
