"id","order_id","product_id","product_name","quantity","unit_price","line_total","created_at","updated_at"
"00c14223-3de3-40a3-b32b-f963766b3ff2","3f1e6f0a-d1fa-474e-a8ea-68c90fc1d9a1","p012","Retatrutide 40mg","1.00","165.00","165.00","""2026-03-18T20:20:09.108Z""","""2026-03-18T20:20:09.108Z"""
"01cdf7bc-2785-4519-945d-08aaca1e740d","83a3d960-ba23-47a3-883c-ed6883ab9d27","p028","Adipotide 10mg","1.00","165.00","165.00","""2026-04-02T16:46:03.959Z""","""2026-04-02T16:46:03.959Z"""
"05682c6d-b998-4d99-bdcf-68b8c5ea951e","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p058","Thymosin Alpha-1 10mg","1.00","125.00","125.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"085e0a8b-7508-42ff-b882-fbac4555c93e","c67237d3-15ca-4487-b138-43c30d2e1df0","p039","Epitalon 10mg","2.00","45.00","90.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"0aea270a-88f9-463b-96b5-d8c44e08d2a5","f390e78f-35ca-4021-a236-a0c36532a061","p010","Retatrutide 20mg","1.00","120.00","120.00","""2026-03-20T06:50:33.892Z""","""2026-03-20T06:50:33.892Z"""
"0c322c29-3763-455b-abbf-d4fb4123d9d5","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p085","KPV 30mg","0.50","145.00","72.50","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"0e0adf21-5733-4f6c-8e6c-5bf052b37cf5","c0a3135e-928e-4285-8916-e1f7ed71e04b","p015","Cagrilintide 10mg","1.00","170.00","170.00","""2026-03-21T17:27:18.086Z""","""2026-03-21T17:27:18.086Z"""
"0e18ee67-e3cb-4477-83b5-0f624df33099","9ece120d-7dbc-4009-ae0c-658d3d58b3d5","p096","HCG 1000 IU GMP 3ml 10vials","1.00","40.00","40.00","""2026-03-21T06:31:03.403Z""","""2026-03-21T06:31:03.403Z"""
"0e42232a-63b4-4b7e-b616-b655d045abce","feacea3c-d137-4fb2-8955-2f154947b317","p007","Tirzepatide 60mg","1.00","135.00","135.00","""2026-03-20T13:23:13.883Z""","""2026-03-20T13:23:13.883Z"""
"0eeb1a71-3f32-483a-9543-f91da2299cdd","c310cffd-47c0-4225-ade9-62923897b77f","p084","KPV 10mg","1.00","60.00","60.00","""2026-03-18T20:20:08.899Z""","""2026-03-18T20:20:08.899Z"""
"0f3ae874-25a0-4b30-ae39-99f71483607d","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p024","HGH 10IU","1.00","50.00","50.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"1077a9d5-e3f6-4681-b8dd-09463bfb0f61","05edc6e3-04b1-4487-bdda-898348202bfb","p007","Tirzepatide 60mg","2.00","135.00","270.00","""2026-04-01T01:09:58.284Z""","""2026-04-01T01:09:58.284Z"""
"11f966db-f067-4ec7-a884-80f932ec47ef","c67237d3-15ca-4487-b138-43c30d2e1df0","p062","Selank 10mg","1.00","55.00","55.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
