"id","order_id","product_id","product_name","quantity","unit_price","line_total","is_oos","created_at","updated_at"
"0041fb6b-6d17-40a2-8d43-e07c707b16f8","1ad94a6e-fce4-4973-898c-15e448a4663f","p064","Na Selank","0.50","70.00","35.00","false","""2026-04-15T21:10:01.417Z""","""2026-04-15T21:10:01.417Z"""
"01271278-f49e-46e9-9c10-f6b03b84ad5d","a631f732-c512-4b5d-84e5-bd660207a5f3","p056","SS-31 50mg","1.00","230.00","230.00","false","""2026-04-25T09:42:56.554Z""","""2026-04-25T09:42:56.554Z"""
"018e61eb-9c68-4d7e-83d0-9d871e50cbbf","4d5e448f-a3f2-408f-91f4-80ae86deb963","p069","DSIP 5mg","1.00","35.00","35.00","false","""2026-04-25T03:13:57.517Z""","""2026-04-25T03:13:57.517Z"""
"01bedf0f-9619-48b0-b33d-8221656e0117","f8108132-7b79-43da-8cd0-84562753b941","p078","GHK-CU 100mg","1.00","51.00","51.00","false","""2026-04-25T15:19:08.908Z""","""2026-04-25T15:19:08.908Z"""
"033e8ea9-1d9a-4ae3-974f-2a01698f41bc","4e18753e-10d8-4fd2-ba04-f3a92097c62a","p065","IllumiNeuro (PE10mg+Pinealon 10mg+Na Semax 20mg+Na Selank 8mg)","0.50","240.00","120.00","false","""2026-04-17T18:27:41.471Z""","""2026-04-17T18:27:41.471Z"""
"049937d5-9bcb-420b-a0f2-19a94b7cc2cf","8d961fc3-c480-4672-9f9d-e4e9141525cb","prod-921c7f23","Gensupen2","3.00","8.50","25.50","false","""2026-04-15T11:23:00.801Z""","""2026-04-15T11:23:00.801Z"""
"04ddbed0-7644-4863-9f52-ed5343c33787","26a0a306-6031-46ff-aad8-4b732a829368","p005","Tirzepatide 30mg","1.00","90.00","90.00","false","""2026-04-25T11:31:23.419Z""","""2026-04-25T11:31:23.419Z"""
"04f603c0-35a1-472d-a2c5-a07c6de1034f","447568fe-c5f5-4965-967d-c2df2fa4b161","p073","CJC No DAC / Ipa 5/5mg","1.00","75.00","75.00","false","""2026-04-25T17:47:35.458Z""","""2026-04-25T17:47:35.458Z"""
"052aeeec-ebcc-4c6b-b926-e9dcc13c55e0","06f51a91-f839-452d-a93e-c0b6905bc0f5","p012","Retatrutide 40mg","6.00","165.00","990.00","false","""2026-04-26T07:30:15.146Z""","""2026-04-26T07:30:15.146Z"""
"0551d20d-35fe-44bd-acc5-f5dc343dcf93","84d2acb4-498e-496c-8d2d-d31b925c670b","p109","Cartalax 20mg","2.00","120.00","240.00","false","""2026-04-16T07:38:10.402Z""","""2026-04-16T07:38:10.402Z"""
