"id","code","telegram_username","delivery_method","delivery_method_id","delivery_price","vendor_shipping","product_subtotal","tip","grand_total","notes","status","admin_notes","admin_message","tracking_number","payment_status","payment_tx_hash","payment_test_amount","test_payment_tx_hash","shipping_name","shipping_address","pin","inpost_qr_code","created_at","updated_at","group_buy_id"
"03a194ac-176f-45d5-9f81-6a28e7f17c0c","0027","@S S C","InPost","dm-inpost","3.00","0.00","491.00","0.00","494.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.032Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"0581d320-40f1-40e7-9adb-cd05ffaabda1","0025","Fergus","Royal Mail","dm-royal-mail","10.00","0.00","480.00","0.00","490.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.021Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"05edc6e3-04b1-4487-bdda-898348202bfb","0035","@hotlinerider","Royal Mail","dm-royal-mail","10.00","0.00","575.00","0.00","585.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.074Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"0a04f7fb-b229-4100-bed6-cdf181eeafc1","7225","CptnMolo","Royal Mail","dm-royal-mail","10.00","0.00","105.00","0.00","123.06",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"15b18334-3f30-42c6-a212-cdd54f32cef2","3624","NoShoesNoService","None / TBD","dm-none","0.00","0.00","160.00","0.00","168.77",,"Completed",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"17b2c399-9bba-4740-8b1e-751b5baaa252","0011","@J4mes_R","Royal Mail","dm-royal-mail","10.00","0.00","717.50","0.00","727.50",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.940Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"1b975899-08c0-439c-b0bb-b65f0092d0aa","0013","@zebble76","Royal Mail","dm-royal-mail","10.00","0.00","180.00","0.00","190.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.951Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"1dfd8692-2bbd-410d-b9b2-cfc5e1c467f7","1683","aj_r222","InPost","dm-inpost","3.00","0.00","90.00","0.00","110.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"208c5098-466d-41e8-9f75-0218fbf1db3f","0023","@JB Adipo","InPost","dm-inpost","3.00","0.00","450.00","0.00","453.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.010Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"21741634-0920-4730-8e10-8aa0e87aecf4","7159","Gjoyce","Royal Mail","dm-royal-mail","10.00","0.00","285.00","0.00","303.68",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"226918e3-7a48-4dd4-982d-3b2bc27c3723","1566","Mand","Select Onward Delivery","dm-onward","0.00","0.00","315.00","0.00","322.83",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"27f60946-a7b7-4925-ba58-5dd11eeed729","2334","Mercutio","Royal Mail","dm-royal-mail","10.00","0.00","135.00","0.00","157.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"29c0d72b-ba50-4604-8779-830d982a6c65","7745","BaeBoo","Royal Mail","dm-royal-mail","10.00","0.00","60.00","0.00","77.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"2e75ecd9-eaab-45e8-aebb-e71133d18aa2","3990","Jord","None / TBD","dm-none","0.00","0.00","330.00","0.00","349.04",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"305f0061-6f0e-46c2-95ef-9a2cac85d059","2203","Mand","None / TBD","dm-none","0.00","0.00","275.00","0.00","284.57",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"3a5df063-138c-4498-bef2-6d733ca93ea2","0009","@jakeh1992","Royal Mail","dm-royal-mail","10.00","0.00","195.00","0.00","205.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.927Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"3b7280a7-b855-489a-b9d1-b2f03e5f3d0b","0030","@josie_uk","Royal Mail","dm-royal-mail","10.00","0.00","220.00","0.00","230.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.048Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"3bd9eefd-7e2a-4e5c-9b4e-b1cff3038cf4","0003","UntamedChazy","Royal Mail","dm-royal-mail","10.00","0.00","930.00","0.00","940.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.887Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"3f1e6f0a-d1fa-474e-a8ea-68c90fc1d9a1","0042","Leonidas","Royal Mail","dm-royal-mail","10.00","0.00","435.00","0.00","445.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.105Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"4321edd8-645d-4105-bb74-17e5cf14ed76","5910","IronmanJamie","Royal Mail","dm-royal-mail","10.00","0.00","57.50","0.00","75.25",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"54f88b62-dcf8-4c7d-880c-b4527534edb6","1129","LizzieH","Royal Mail","dm-royal-mail","10.00","0.00","115.00","0.00","132.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"55687d24-fedd-472c-b79a-43751feaf336","8798","Miki19844","Select Onward Delivery","dm-onward","0.00","0.00","95.00","0.00","102.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"592339ba-f816-436f-91f4-6f628de8387b","6305","FloDel","Royal Mail","dm-royal-mail","10.00","0.00","90.00","0.00","107.90",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"5964c2fe-e0b6-4cbd-880d-0c99155f8cd1","7782","CrusaderUser8328","InPost","dm-inpost","3.00","0.00","157.50","0.00","168.56",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"5a386fcc-e8d7-4e09-9d3e-618ba1bce411","9220","zebble76","Royal Mail","dm-royal-mail","10.00","0.00","215.00","0.00","233.06",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"607cdfc7-b502-4c19-8dc7-32461fdb1205","1142","Jeeunit","Royal Mail","dm-royal-mail","10.00","0.00","60.00","0.00","77.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"61b3ad0f-4812-46c3-a790-bad3838a27fb","1556","Lysdexic","InPost","dm-inpost","3.00","0.00","325.00","0.00","336.37",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"6f6de2e0-09fd-4ba9-a538-07683263fd23","0017","Scott","Royal Mail","dm-royal-mail","10.00","0.00","310.00","0.00","320.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.976Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"73206461-2654-496b-a08b-e6906e1d4172","4761","JohnCenaCMe","Royal Mail","dm-royal-mail","10.00","0.00","60.00","0.00","77.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"7522e0b8-cf16-40ef-aff9-9b3180098433","0024","@ADev81","Royal Mail","dm-royal-mail","10.00","0.00","325.00","0.00","335.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.016Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"7982979f-568f-4555-b3d8-6d7e3b4f8327","1572","Mervyn","Royal Mail","dm-royal-mail","10.00","0.00","300.00","0.00","318.68",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"7c4198b0-56ca-4561-a79e-9b04debe3cf9","3733","@wefewfwf","Royal Mail","dm-royal-mail","10.00","0.00","80.00","0.00","90.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-19T17:02:22.401Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"7c889b8d-fad8-4149-bbba-ed674010df4f","5839","1PoundFish","None / TBD","dm-none","0.00","0.00","465.00","0.00","484.57",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"7d6339fe-0e7e-4f13-a613-9964a321e863","0037","FBX2000","","","0.00","0.00","85.00","0.00","85.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.084Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"813442f1-cfc6-45bc-9a82-3d1a63068328","0029","@noshoesnoservice","InPost","dm-inpost","3.00","0.00","160.00","0.00","163.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.043Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"82e94558-12ea-4f60-b22d-ce27806f5e9a","6137","ShaidaAli","Royal Mail","dm-royal-mail","10.00","0.00","160.00","0.00","177.75",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"83a3d960-ba23-47a3-883c-ed6883ab9d27","0034","@Jayjo8","Royal Mail","dm-royal-mail","10.00","0.00","751.00","0.00","761.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.069Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"8723edc0-ea34-45d6-8577-8a56879d8f70","2697","ixdb21","Royal Mail","dm-royal-mail","10.00","0.00","880.00","0.00","911.02",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"872ee5ff-b754-4068-ad98-c7c06c86e42d","0033","Lizzie2391","Royal Mail","dm-royal-mail","10.00","0.00","135.00","0.00","145.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.065Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"88fe92c7-7550-4c4d-a8e2-5f9f3b3d6b1c","3533","Banana","None / TBD","dm-none","0.00","0.00","50.00","0.00","58.77",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"8fee86d5-5f56-462a-bc6f-354c2bcdc90e","0016","@kenupfront","Royal Mail","dm-royal-mail","10.00","0.00","1876.00","0.00","1886.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.968Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"97714f03-36a3-47e0-ab99-52143db1645e","8330","Scott","None / TBD","dm-none","0.00","0.00","366.00","0.00","375.57",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"9ece120d-7dbc-4009-ae0c-658d3d58b3d5","0031","@Nemo","","","0.00","0.00","121.00","0.00","121.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.054Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"9fdd1337-ca50-43af-b20b-a4f95f556ba4","8269","AT","Royal Mail","dm-royal-mail","10.00","0.00","130.00","0.00","147.90",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"a052989f-8ba3-4a2f-8d8e-0a1bdd5d3aee","7535","PeppyBethy","None / TBD","dm-none","0.00","0.00","90.00","0.00","108.77",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"a22f7966-b42d-4cab-81c3-c94983f0e590","0040","Shaida Ali","Royal Mail","dm-royal-mail","10.00","0.00","431.00","0.00","441.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.100Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"a434d697-4ad9-481d-8b13-74d343cd9590","0036","@Zii","Royal Mail","dm-royal-mail","10.00","0.00","51.00","0.00","61.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.079Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"a4cab9d2-7cb6-4f24-baa6-208f41bad4ca","0005","finguk","Royal Mail","dm-royal-mail","10.00","0.00","95.00","0.00","105.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.903Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"a70245bf-f0c7-4bac-80a4-b880b93ac7c0","1413","SammySatt","None / TBD","dm-none","0.00","0.00","200.00","0.00","214.30",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"add02bdd-39c3-4394-990a-a640901606aa","7334","Mikolaj","None / TBD","dm-none","0.00","0.00","95.00","0.00","103.36",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"af9e5b89-b039-4746-93be-5e2c9cf2dddd","0022","Mand","Royal Mail","dm-royal-mail","10.00","0.00","1231.00","0.00","1241.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.003Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"afb0cd40-6e8d-40be-9667-7fd66501eeab","3837","mIRCulina","Royal Mail","dm-royal-mail","10.00","0.00","310.00","0.00","329.03",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"b09497dc-4ba4-4bd3-b8c8-d0f3dfb4804f","5055","JamesR","Royal Mail","dm-royal-mail","10.00","0.00","820.00","0.00","842.16",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"b096c66d-5870-4010-9511-45e13727908c","0020","OJ","Royal Mail","dm-royal-mail","10.00","0.00","250.00","0.00","260.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:08.991Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"b0ca116d-aaea-4b84-9ae0-8cac8ad64280","0039","@vasendak","Royal Mail","dm-royal-mail","10.00","0.00","165.00","0.00","175.00",,"Submitted",,,,"unpaid",,,,,,"0000",,"""2026-03-18T20:20:09.094Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"b3a84822-5580-47c7-bfe0-7b61f1908c05","8148","@5egergfr","Royal Mail","dm-royal-mail","10.00","0.00","122.50","0.00","132.50",,"Submitted",,"does this work",,"unpaid",,,,,,"1786",,"""2026-03-19T17:00:15.099Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"b78aec11-7f54-4c54-8743-bc935ac61bdb","5425","CraigE","Royal Mail","dm-royal-mail","10.00","0.00","165.00","0.00","183.06",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-02-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
"ba9c18e1-1c1f-4ef9-923d-8d0a272f94f9","9586","Quake","None / TBD","dm-none","0.00","0.00","135.00","0.00","148.77",,"Processing",,,,"unpaid",,,,,,"0000",,"""2026-01-03T00:00:00.000Z""","""2026-03-23T10:36:51.732Z""","gb-1"
