"Carrier Code(运输商代码)","Carrier Name(运输商名称)","Parameter(参数信息)","Description(官方描述)","Sample(输入示例)","Require(是否必填)"
"2061","Bpost","postal_code","postal_code
","1000","No"
"7041","DHL Paket","postal_code","postal_code
","1000 AA","No"
"14041","PostNL","destination_country","destination_country
","FR","Yes"
"14041","PostNL","postal_code","postal_code
","1000 AA","No"
"21051","USPS","mid","mid
","123456","No"
"100003","FedEx","ship_date","ship_date
","	2024-01-01","No"
"100005","GLS","postal_code","postal_code
","Postal code","No"
"100010","DPD (UK)","postal_code","postal_code
","Postcode","No"
"100017","Yodel","postal_code","postal_code
","Postal code","No"
"100024","GLS (IT)","postal_code","postal_code
","Postal code","No"
"100026","BRT Bartolini(DPD)","postal_code","postal_code
","1000 AA","No"
"100027","Colis Prive(Colis Privé)","postal_code","postal_code
","12345","No"
"100060","Delhivery","number_type","Track Number Type
1:AWB
2:Order Id
3:LRN
","1","No"
"100074","J&T Express (ID)","phone_number_last_4","phone_number_last_4
","8888","Yes"
"100078","Caribou","postal_code","postal_code
","1000","No"
"100086","JNE Express","phone_number_last_4","phone_number_last_4
","88888","Yes"
"100155","Commonline","postal_code","postal_code
","1000","No"
"100167","XDP EXPRESS","postal_code","postal_code
","LS27 0BN","Yes"
"100189","GLS Spain (National)","postal_code","postal_code
","123456","Yes"
"100207","GLS (Croatia)","postal_code","postal_code
","Postal code","No"
"100221","Estes","number_type","Track Number Type
1:PRO Number
2:BOL Number
3:Purchase Order Number
","1","No"
"100268","Post Haste","number_type","Track Number Type
5:Track Bar Code
","5","No"
"100268","Post Haste","parameter","Product Code or Company ID
","1000000","No"
"100271","J&T Express (TH)","phone_number_last_4","phone_number_last_4
","8888","No"
"100280","GLS (HU)","postal_code","postal_code
","Postal code","No"
"100281","GLS (CZ)","postal_code","postal_code
","Postal code","No"
"100282","GLS (SK)","postal_code","postal_code
","Postal code","No"
"100283","GLS (SI)","postal_code","postal_code
","Postal code","No"
"100284","GLS (RO)","postal_code","postal_code
","Postal code","No"
"100304","Mondial Relay","postal_code","postal_code
","123456","No"
"100316","GLS (PT)","postal_code","postal_code
","Postal code","Yes"
"100321","DPD (BE)","postal_code","postal_code
","1000 AA","No"
"100356","GEODIS","postal_code","postal_code
","1000 AA","No"
"100364","Paack","postal_code","postal_code
","12345","Yes"
"100384","GLS (NL)","postal_code","postal_code
","12345","Yes"
"100388","J&T Express (MX)","phone_number_last_4","phone_number_last_4
","8888","Yes"
"100394","Pall-Ex (UK)","postal_code","postal_code
","CO14 8LF","Yes"
"100396","GEL Express Logistik","postal_code","postal_code
","1000 AA","No"
"100424","Gefco","postal_code","Please enter a zip code.
","12345","Yes"
