"id","name","price","active","category","sort_order","source_group_buy_id","created_at","updated_at"
"p001","Semaglutide 10mg","55.00","true",,"1",,"""2026-03-18T15:19:10.669Z""","""2026-03-18T16:36:48.221Z"""
"p002","Tirzepatide 10mg","65.00","true",,"2",,"""2026-03-18T15:19:10.673Z""","""2026-03-18T16:36:48.224Z"""
"p003","Tirzepatide 15mg","80.00","true",,"3",,"""2026-03-18T15:19:10.675Z""","""2026-03-18T15:19:10.675Z"""
"p004","Tirzepatide 20mg","85.00","true",,"4",,"""2026-03-18T15:19:10.678Z""","""2026-03-18T15:19:10.678Z"""
"p005","Tirzepatide 30mg","90.00","true",,"5",,"""2026-03-18T15:19:10.682Z""","""2026-03-18T15:19:10.682Z"""
"p006","Tirzepatide 45mg","115.00","true",,"6",,"""2026-03-18T15:19:10.685Z""","""2026-03-18T15:19:10.685Z"""
"p007","Tirzepatide 60mg","135.00","true",,"7",,"""2026-03-18T15:19:10.688Z""","""2026-03-18T15:19:10.688Z"""
"p008","Tirzepatide 100mg","220.00","true",,"8",,"""2026-03-18T15:19:10.691Z""","""2026-03-18T15:19:10.691Z"""
"p009","Retatrutide 10mg","95.00","true",,"9",,"""2026-03-18T15:19:10.694Z""","""2026-03-18T15:19:10.694Z"""
"p010","Retatrutide 20mg","120.00","true",,"10",,"""2026-03-18T15:19:10.697Z""","""2026-03-18T15:19:10.697Z"""
"p011","Retatrutide 30mg","155.00","true",,"11",,"""2026-03-18T15:19:10.700Z""","""2026-03-18T15:19:10.700Z"""
"p012","Retatrutide 40mg","165.00","true",,"12",,"""2026-03-18T15:19:10.703Z""","""2026-03-18T15:19:10.703Z"""
"p013","Retatrutide 50mg","205.00","true",,"13",,"""2026-03-18T15:19:10.706Z""","""2026-03-18T15:19:10.706Z"""
"p014","Cagrilintide 5mg","90.00","true",,"14",,"""2026-03-18T15:19:10.709Z""","""2026-03-18T15:19:10.709Z"""
"p015","Cagrilintide 10mg","170.00","true",,"15",,"""2026-03-18T15:19:10.711Z""","""2026-03-18T15:19:10.711Z"""
