"id","recipient_type","recipient_username","recipient_chat_id","message_text","sent_at","delivered","error_message"
"1","admin",,"6178447383","🙋 <b>New Customer</b>
@redbiro just registered an account.","""2026-04-17T21:36:29.177Z""","true",
"2","user",,"874556867","👋 <b>Welcome!</b>

To link your Peps Anonymous account:
1. Go to your Profile in the app
2. Open <b>Telegram Notifications</b>
3. Tap <b>Link Telegram</b> to get a code
4. Send <code>/link YOUR_CODE</code> here

Send /stop to unlink at any time.","""2026-04-17T21:36:43.321Z""","true",
"3","user",,"874556867","✅ <b>Linked!</b> Your Telegram is now connected to your @redbiro account.

You'll receive notifications here for order updates, payments, and more.

Send /stop at any time to unlink.","""2026-04-17T21:36:48.386Z""","true",
"4","user",,"874556867","✅ <b>Connection confirmed!</b>

Your Telegram is successfully linked to your Peps Anonymous account.

You'll receive notifications here for order updates, payments, and status changes.","""2026-04-17T21:36:59.933Z""","true",
"5","user","redbiro","874556867","🛒 <b>Order Placed!</b>

Your order <code>#9594</code> has been submitted.
GB: <b>Autopen GB</b>
Organiser: @mkp_uk

From: @redbiro
Date: 17 Apr 2026
Order Total: <b>£20.00</b>
Items:
  • Convipen ×2
Total Qty: 2
Delivery: InPost or RM QR Code
Tip: £3.00
Payment: Unpaid

<a href=""https://peps-anonymous.replit.app/account"">View your orders →</a>","""2026-04-17T21:41:00.378Z""","true",
"6","admin",,"6178447383","🆕 <b>New Order</b> <code>#9594</code>
GB: <b>Autopen GB</b>
Organiser: @mkp_uk
From: @redbiro
Payment: Unpaid

• Convipen ×2 @ £8.50 = £17.00

Delivery: InPost or RM QR Code (£0.00)
Tip: £3.00
User Total: £20.00","""2026-04-17T21:41:00.434Z""","true",
"7","admin",,"6178447383","🙋 <b>New Customer</b>
@ohinge just registered an account.","""2026-04-17T22:04:32.228Z""","true",
"8","admin",,"6178447383","🙋 <b>New Customer</b>
@chedsteve just registered an account.","""2026-04-17T22:07:32.669Z""","true",
"9","admin",,"6178447383","🙋 <b>New Customer</b>
@yk68563 just registered an account.","""2026-04-17T22:08:33.922Z""","true",
"10","admin",,"6178447383","🙋 <b>New Customer</b>
@alexlg13 just registered an account.","""2026-04-17T22:09:23.145Z""","true",
"11","user",,"1981209314","👋 <b>Welcome!</b>

To link your Peps Anonymous account:
1. Go to your Profile in the app
2. Open <b>Telegram Notifications</b>
3. Tap <b>Link Telegram</b> to get a code
4. Send <code>/link YOUR_CODE</code> here

Send /stop to unlink at any time.","""2026-04-17T22:09:40.774Z""","true",
"12","admin",,"6178447383","✏️ <b>Order Edited</b> <code>#4110</code>
By: @littledragon25

• KPV 500mcg Tablets ×1 @ $55.00 = $55.00
• Cagrilintide 5mg ×1 @ $90.00 = $90.00

Delivery: InPost ($3.00)
New Total: $148.00","""2026-04-17T22:10:27.512Z""","true",
